fp,u2,equilibrium_type,final_alpha,final_beta,final_gamma
87.5510204081633,0.215384615384615,2,0,0.999950450105341,9.88131291682493e-324
91.4285714285714,0.215384615384615,2,0,0.999952140664319,9.88131291682493e-324
95.3061224489796,0.215384615384615,2,0,0.999953978687684,9.88131291682493e-324
99.1836734693878,0.215384615384615,2,0,0.999955954561571,9.88131291682493e-324
103.061224489796,0.215384615384615,2,0,0.999958066504961,9.88131291682493e-324
106.938775510204,0.215384615384615,2,0,0.999960322720473,9.88131291682493e-324
110.816326530612,0.215384615384615,2,0,0.999968587214793,9.88131291682493e-324
114.69387755102,0.215384615384615,2,0,0.999970495732477,9.88131291682493e-324
118.571428571429,0.215384615384615,2,0,0.999972644135796,9.88131291682493e-324
122.448979591837,0.215384615384615,2,0,0.999974590673575,9.88131291682493e-324
126.326530612245,0.215384615384615,2,0,0.999964620459515,9.88131291682493e-324
130.204081632653,0.215384615384615,2,0,0.999965833545334,9.88131291682493e-324
134.081632653061,0.215384615384615,2,0,0.999966981876612,9.88131291682493e-324
137.959183673469,0.215384615384615,2,0,0.999968085240241,9.88131291682493e-324
141.836734693878,0.215384615384615,2,0,0.999969519934684,9.88131291682493e-324
145.714285714286,0.215384615384615,2,0,0.999971041208263,9.88131291682493e-324
149.591836734694,0.215384615384615,2,0,0.999972681228944,9.88131291682493e-324
153.469387755102,0.215384615384615,2,0,0.999974710283747,9.88131291682493e-324
157.34693877551,0.215384615384615,2,0,0.999949371548163,9.88131291682493e-324
161.224489795918,0.215384615384615,2,0,0.999950713348485,9.88131291682493e-324
165.102040816327,0.215384615384615,2,0,0.999962858804886,9.88131291682493e-324
168.979591836735,0.215384615384615,2,0,0.999980526743552,9.88131291682493e-324
172.857142857143,0.215384615384615,2,0,0.999988318729916,9.88131291682493e-324
176.734693877551,0.215384615384615,2,0,0.999998693214848,9.88131291682493e-324
180.612244897959,0.215384615384615,2,0,0.999922900462037,9.88131291682493e-324
184.489795918367,0.215384615384615,2,0,0.999934076903767,9.88131291682493e-324
188.367346938776,0.215384615384615,2,0,0.99993927970481,9.88131291682493e-324
192.244897959184,0.215384615384615,2,0,0.999941589827051,9.88131291682493e-324
196.122448979592,0.215384615384615,2,0,0.999943825347422,9.88131291682493e-324
200,0.215384615384615,2,0,0.999946671072315,9.88131291682493e-324
10,0.238461538461538,2,0,0.999969004519287,9.88131291682493e-324
13.8775510204082,0.238461538461538,2,0,0.999969755332669,9.88131291682493e-324
17.7551020408163,0.238461538461538,2,0,0.999972453116625,9.88131291682493e-324
21.6326530612245,0.238461538461538,2,0,0.999962158141841,9.88131291682493e-324
25.5102040816327,0.238461538461538,2,0,0.999973334744441,9.88131291682493e-324
29.3877551020408,0.238461538461538,2,0,0.999973184121851,9.88131291682493e-324
33.265306122449,0.238461538461538,2,0,0.999973060513779,9.88131291682493e-324
37.1428571428571,0.238461538461538,2,0,0.999965624333903,9.88131291682493e-324
41.0204081632653,0.238461538461538,2,0,0.999964316911915,9.88131291682493e-324
44.8979591836735,0.238461538461538,2,0,0.999965632175819,4.94065645841247e-324
48.7755102040816,0.238461538461538,2,0,0.999972347397354,9.88131291682493e-324
52.6530612244898,0.238461538461538,2,0,0.999957401330538,9.88131291682493e-324
56.530612244898,0.238461538461538,2,0,0.999957032271484,9.88131291682493e-324
60.4081632653061,0.238461538461538,2,0,0.999956816861428,9.88131291682493e-324
64.2857142857143,0.238461538461538,2,0,0.999971725882064,4.94065645841247e-324
68.1632653061224,0.238461538461538,2,0,0.999974147315395,9.88131291682493e-324
72.0408163265306,0.238461538461538,2,0,0.999964161042937,9.88131291682493e-324
75.9183673469388,0.238461538461538,2,0,0.999962790737883,9.88131291682493e-324
79.7959183673469,0.238461538461538,2,0,0.999961938735396,9.88131291682493e-324
83.6734693877551,0.238461538461538,2,0,0.999970591219821,9.88131291682493e-324
