time,platform_strategy,creator_strategy,user_strategy
0.761562,0.065498,0.380348,0.989000
0.762763,0.059679,0.367055,0.988056
0.763964,0.053696,0.354652,0.986752
0.765165,0.047292,0.342481,0.984385
0.766366,0.041672,0.330712,0.982636
0.767568,0.035512,0.317399,0.980455
0.768769,0.031332,0.304929,0.978943
0.769970,0.026465,0.295215,0.976792
0.771171,0.020967,0.283716,0.974814
0.772372,0.018597,0.270907,0.972508
0.773574,0.014200,0.258590,0.970348
0.774775,0.010083,0.247843,0.968945
0.775976,0.007592,0.236729,0.967036
0.777177,0.005019,0.224734,0.965361
0.778378,0.003748,0.214483,0.963789
0.779580,0.003227,0.202011,0.962817
0.780781,0.002907,0.192485,0.961887
0.781982,0.001891,0.181978,0.959944
0.783183,-0.000749,0.170765,0.959329
0.784384,-0.001918,0.161254,0.958165
0.785586,-0.002671,0.152168,0.956917
0.786787,-0.001927,0.143300,0.955521
0.787988,-0.001415,0.134770,0.954164
0.789189,0.000915,0.126112,0.952925
0.790390,0.002113,0.116948,0.951390
0.791592,0.004467,0.109853,0.950122
0.792793,0.005605,0.100833,0.949423
0.793994,0.007175,0.092981,0.948684
0.795195,0.010570,0.084557,0.948378
0.796396,0.013324,0.077137,0.947733
0.797598,0.015792,0.071395,0.946698
0.798799,0.018944,0.063644,0.945854
0.800000,0.022065,0.057368,0.945519
0.801201,0.028114,0.051488,0.944860
0.802402,0.032425,0.046357,0.944305
0.803604,0.036326,0.040903,0.943927
0.804805,0.041746,0.033854,0.943390
0.806006,0.047071,0.029714,0.943352
0.807207,0.051990,0.025223,0.944387
0.808408,0.057316,0.021048,0.944760
0.809610,0.063518,0.017651,0.945640
0.810811,0.070747,0.015532,0.946442
0.812012,0.078202,0.012690,0.946643
0.813213,0.086752,0.010048,0.947484
0.814414,0.095119,0.007495,0.948546
0.815616,0.103125,0.005427,0.950142
0.816817,0.112351,0.004473,0.951120
0.818018,0.121616,0.002949,0.952906
0.819219,0.129391,0.001429,0.954203
0.820420,0.139672,0.002281,0.956222
0.821622,0.148128,0.002525,0.957034
0.822823,0.157644,0.003135,0.958843
0.824024,0.167319,0.005086,0.959581
0.825225,0.177428,0.007656,0.960819
0.826426,0.187491,0.007382,0.963122
